Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/RandSample-2000/index-0/WISE+(AllWISE)--w3,0,165.534229,-63.750802,WISE,w3,0,NULL,NULL,NULL,NULL,0.556640625,0.16444444444444445,0,Image lacks central blob
FITS/RandSample-2000/index-0/WISE+(AllWISE)--w2,0,165.534229,-63.750802,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.361328125,0.10864197530864197,,NULL
FITS/RandSample-2000/index-0/2MASS--K,0,165.534229,-63.750802,2MASS,K,1,"(30, 29)",4,2.23606797749979,0.0,0.326171875,0.009674818597151304,,NULL
FITS/RandSample-2000/index-0/WISE+(AllWISE)--w4,0,165.534229,-63.750802,WISE,w4,0,NULL,NULL,NULL,NULL,0.728515625,0.42864197530864195,0,Image lacks central blob
FITS/RandSample-2000/index-0/DSS--DSS2+Red,0,165.534229,-63.750802,DSS,DSS2+Red,1,"(28, 30)",5,2.0,0.0,0.361328125,0.06497175141242938,,NULL
FITS/RandSample-2000/index-0/DSS--DSS2+IR,0,165.534229,-63.750802,DSS,DSS2+IR,1,"(29, 30)",5,1.0,0.0,0.361328125,0.031638418079096044,,NULL
FITS/RandSample-2000/index-0/WISE+(AllWISE)--w1,0,165.534229,-63.750802,WISE,w1,1,"(22, 22)",7,1.4142135623730951,0.0,0.341796875,0.09679012345679013,,NULL
FITS/RandSample-2000/index-0/2MASS--J,0,165.534229,-63.750802,2MASS,J,1,"(30, 29)",4,2.23606797749979,0.0,0.314453125,0.009943563558183283,,NULL
FITS/RandSample-2000/index-0/2MASS--H,0,165.534229,-63.750802,2MASS,H,1,"(30, 29)",4,2.23606797749979,0.0,0.306640625,0.010212308519215264,,NULL
FITS/RandSample-2000/index-1/WISE+(AllWISE)--w3,1,354.319028,54.582442,WISE,w3,0,NULL,NULL,NULL,NULL,0.552734375,0.14814814814814814,0,Image lacks central blob
FITS/RandSample-2000/index-1/WISE+(AllWISE)--w2,1,354.319028,54.582442,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.361328125,0.11160493827160493,,NULL
FITS/RandSample-2000/index-1/DSS--DSS1+Blue,1,354.319028,54.582442,DSS,DSS1+Blue,1,"(29, 30)",11,1.0,0.059322033898305086,0.431640625,0.1790960451977401,,NULL
FITS/RandSample-2000/index-1/DSS--DSS1+Red,1,354.319028,54.582442,DSS,DSS1+Red,1,"(16, 16)",5,2.8284271247461903,0.015625,0.443359375,0.15591836734693879,,NULL
FITS/RandSample-2000/index-1/DSS--DSS2+Blue,1,354.319028,54.582442,DSS,DSS2+Blue,1,"(29, 30)",9,1.0,0.0,0.412109375,0.10536723163841807,,NULL
FITS/RandSample-2000/index-1/2MASS--K,1,354.319028,54.582442,2MASS,K,1,"(30, 29)",4,2.23606797749979,0.0,0.341796875,0.01209352324643913,,NULL
